Index,Year,Opening Weekend Gross,US & Canada Gross,Worldwide Gross,Budget,awards,oscar wins,oscar nominated,Genre,Genre,Genre,Director 1,Director 2,Director 3
273,1990,,1963207,2970161,12000000,3,0,0,Drama,Fantasy,,Akira Kurosawa, Ishirô Honda,
274,2015,116927,1339152,97571250,81200000,7,0,0,Animation,Adventure,Drama,Mark Osborne,,
275,2001,156724,3082286,3660081,6000000,28,0,0,Comedy,Drama,Music,John Cameron Mitchell,,
276,1948,,7017420,9524420,,0,1,1,Action,Crime,Drama,John Huston,,
277,1961,,8720000,,,3,1,1,Drama,Romance,,Elia Kazan,,
278,2022,,,107021,,17,1,1,Documentary,Biography,,Daniel Roher,,
279,1997,59508,500000,500000,,23,0,0,Crime,Drama,Romance,Takeshi Kitano,,
280,1941,,16361885,16364924,1400000,5,2,1,Biography,Drama,History,Howard Hawks,,
281,1935,,,,1200000,0,0,1,Action,Adventure,History,Michael Curtiz,,
282,1976,4898,7144,7144,,0,0,0,Comedy,Drama,,Ettore Scola,,
283,1933,,,,433000,0,0,1,Comedy,Drama,Musical,Mervyn LeRoy,,
284,2012,,,,,0,0,0,Animation,Action,Adventure,Toshiyuki Kubooka,,
285,1983,60119,11798616,11798616,,7,0,1,Comedy,,,Woody Allen,,
286,2019,,,24012,,0,0,0,Animation,Action,Adventure,Rebecca Sugar, Joseph D. Johnston, Kat Morris
287,1975,1536,12408,12408,,2,0,1,Comedy,Drama,War,Lina Wertmüller,,
288,1963,,,,,7,1,1,Adventure,Drama,,Elia Kazan,,
289,1969,,,,,0,0,1,Drama,,,Kirill Lavrov, Ivan Pyrev, Mikhail Ulyanov
290,1948,,,,1631000,6,1,1,Drama,,,Jean Negulesco,,
291,2000,32037,374555,,,7,1,1,Documentary,History,War,Mark Jonathan Harris,,
292,1973,,33000,,,0,0,0,Documentary,Biography,Music,Joe Boyd, John Head, Gary Weis
293,2017,,,,,0,0,0,Documentary,,,Josh Greenbaum,,
294,2007,,,,,0,0,0,Documentary,,,Leslie Iwerks,,
295,2009,14632,55513,55513,,0,0,0,Documentary,,,Gregory V. Sherman, Jeff Sherman,
296,2004,,,,,0,0,0,Documentary,History,,Wendy Apple,,
297,1964,,,,,5,0,0,Drama,,,Grigoriy Kozintsev,,
298,1977,,,,,0,0,0,Comedy,Documentary,,Howard Smith,,
